lat,lon,severity,severity_weight,total_accidents,fatal_accidents,description
13.1986,77.7066,critical,10.0,618,161,"Kempegowda International Airport Traffic PS jurisdiction - 161 fatal, 457 non-fatal cases across 3 yr(s) (BTP/OpenCity real data)"
13.1007,77.5963,critical,9.93,1787,399,"Yelahanka Traffic PS jurisdiction - 399 fatal, 1388 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.0089,77.6996,critical,8.3,1767,304,"K R Puram Traffic PS jurisdiction - 304 fatal, 1463 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.1487,77.6238,critical,7.43,1383,299,"Chikkajala Traffic PS jurisdiction - 299 fatal, 1084 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.988,77.528,high,6.66,1522,234,"Kamakshipalya Traffic PS jurisdiction - 234 fatal, 1288 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.8452,77.6602,high,6.63,1305,263,"Electronic City Traffic PS jurisdiction - 263 fatal, 1042 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9698,77.75,high,6.57,1243,270,"Whitefield Traffic PS jurisdiction - 270 fatal, 973 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9081,77.4855,high,6.33,1302,243,"Kengeri Traffic PS jurisdiction - 243 fatal, 1059 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.2436,77.7145,high,6.16,756,150,"Devanahalli Traffic PS jurisdiction - 150 fatal, 606 non-fatal cases across 5 yr(s) (BTP/OpenCity real data)"
13.0284,77.518,high,5.8,1368,203,"Peenya Traffic PS jurisdiction - 203 fatal, 1165 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.91,77.555,high,5.77,1197,222,"Kumaraswamy Layout Traffic PS jurisdiction - 222 fatal, 975 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.0358,77.597,high,5.38,1089,216,"Hebbala Traffic PS jurisdiction - 216 fatal, 873 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.053,77.548,high,4.76,1105,174,"Bytarayanapura Traffic PS jurisdiction - 174 fatal, 931 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.937,77.504,high,4.73,299,40,"Jnanabharathi Traffic PS jurisdiction - 40 fatal, 259 non-fatal cases across 2 yr(s) (BTP/OpenCity real data)"
12.865,77.535,high,4.71,364,70,"Thalagattapura Traffic PS jurisdiction - 70 fatal, 294 non-fatal cases across 3 yr(s) (BTP/OpenCity real data)"
13.0357,77.6408,high,4.67,318,77,"Hennur Traffic PS jurisdiction - 77 fatal, 241 non-fatal cases across 3 yr(s) (BTP/OpenCity real data)"
12.955,77.665,moderate,3.92,750,171,"Airport Rd / HAL (old) Traffic PS jurisdiction - 171 fatal, 579 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.0284,77.534,moderate,3.77,847,147,"Yeshwanthpur Traffic PS jurisdiction - 147 fatal, 700 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9906,77.696,moderate,3.69,328,52,"Mahadevapura Traffic PS jurisdiction - 52 fatal, 276 non-fatal cases across 3 yr(s) (BTP/OpenCity real data)"
13.045,77.546,moderate,3.59,750,149,"Jalahalli Traffic PS jurisdiction - 149 fatal, 601 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.0069,77.6497,moderate,3.39,821,127,"Banasawadi Traffic PS jurisdiction - 127 fatal, 694 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.889,77.598,moderate,3.34,795,127,"Hulimavu Traffic PS jurisdiction - 127 fatal, 668 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.073,77.509,moderate,3.21,207,29,"Chikkabanavara Traffic PS jurisdiction - 29 fatal, 178 non-fatal cases across 2 yr(s) (BTP/OpenCity real data)"
13.062,77.575,moderate,3.14,110,13,"Kodigehalli Traffic PS jurisdiction - 13 fatal, 97 non-fatal cases across 1 yr(s) (BTP/OpenCity real data)"
12.9116,77.6389,moderate,2.83,582,126,"HSR Layout Traffic PS jurisdiction - 126 fatal, 456 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9915,77.5527,moderate,2.76,633,114,"Rajajinagar Traffic PS jurisdiction - 114 fatal, 519 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.925,77.614,moderate,2.67,575,117,"Madivala Traffic PS jurisdiction - 117 fatal, 458 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9784,77.6408,moderate,2.62,613,109,"Indiranagar Traffic PS jurisdiction - 109 fatal, 504 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.925,77.556,moderate,2.5,661,94,"Banashankari Traffic PS jurisdiction - 94 fatal, 567 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.91,77.615,moderate,2.42,588,100,"Mico Layout Traffic PS jurisdiction - 100 fatal, 488 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.925,77.5938,moderate,2.37,606,94,"Jayanagar Traffic PS jurisdiction - 94 fatal, 512 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9719,77.534,moderate,2.36,737,75,"Vijayanagar Traffic PS jurisdiction - 75 fatal, 662 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9816,77.6198,moderate,2.35,528,103,"Halasuru / Ulsoor Traffic PS jurisdiction - 103 fatal, 425 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.926,77.665,moderate,2.01,176,34,"Bellandur Traffic PS jurisdiction - 34 fatal, 142 non-fatal cases across 3 yr(s) (BTP/OpenCity real data)"
13.0234,77.5941,low,1.85,535,70,"R T Nagar Traffic PS jurisdiction - 70 fatal, 465 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.0035,77.5709,low,1.8,551,66,"Malleshwaram Traffic PS jurisdiction - 66 fatal, 485 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9422,77.576,low,1.54,589,44,"Basavanagudi Traffic PS jurisdiction - 44 fatal, 545 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
13.0068,77.5813,low,1.53,497,56,"Sadashivanagar Traffic PS jurisdiction - 56 fatal, 441 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.95,77.595,low,1.39,439,55,"Wilson Garden Traffic PS jurisdiction - 55 fatal, 384 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9678,77.5764,low,1.25,335,61,"Chickpet Traffic PS jurisdiction - 61 fatal, 274 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.97,77.605,low,1.08,349,48,"Ashok Nagar Traffic PS jurisdiction - 48 fatal, 301 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9422,77.611,low,1.07,381,41,"Adugodi Traffic PS jurisdiction - 41 fatal, 340 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.97,77.578,low,1.04,280,56,"Upparpet Traffic PS jurisdiction - 56 fatal, 224 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.9873,77.592,low,0.98,407,34,"High Grounds Traffic PS jurisdiction - 34 fatal, 373 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.98,77.605,low,0.97,382,36,"Ulsoor Gate Traffic PS jurisdiction - 36 fatal, 346 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.993,77.628,low,0.91,266,50,"K G Halli (Kadugondanahalli) Traffic PS jurisdiction - 50 fatal, 216 non-fatal cases across 8 yr(s) (BTP/OpenCity real data)"
12.998,77.612,low,0.81,98,37,"Fraser Town Traffic PS jurisdiction - 37 fatal, 61 non-fatal cases across 5 yr(s) (BTP/OpenCity real data)"
